time,Temp,DAC,current 
1743191066.025,19.9049,6226,71.36
1743191066.153,19.8995,6226,75.27
1743191066.297,19.9068,6226,73.31
1743191066.425,19.8984,6226,96.77
1743191066.553,19.9093,6226,71.36
1743191066.681,19.9112,6226,98.73
1743191066.809,19.8979,6226,73.31
1743191066.932,19.9122,6226,79.18
1743191067.058,19.9052,6226,87.00
1743191067.193,19.8953,6226,87.00
1743191067.321,19.9056,6226,96.77
1743191067.464,19.8978,6226,92.86
1743191067.593,19.8997,6226,77.22
1743191067.721,19.9091,6226,73.31
1743191067.849,19.9060,6226,83.09
1743191067.976,19.8998,6226,92.86
1743191068.102,19.8948,6226,87.00
1743191068.232,19.8954,6226,94.82
1743191068.360,19.9073,6226,88.95
1743191068.488,19.8991,6226,96.77
1743191068.632,19.9082,6226,87.00
1743191068.760,19.9055,6226,83.09
1743191068.888,19.9038,6226,77.22
1743191069.016,19.9012,6226,90.91
1743191069.144,19.9023,6226,83.09
1743191069.272,19.9093,6226,96.77
1743191069.400,19.9087,6226,81.13
1743191069.528,19.8978,6226,87.00
1743191069.657,19.9076,6226,83.09
1743191069.800,19.9051,6226,81.13
1743191069.928,19.9068,6226,75.27
1743191070.056,19.9076,6226,73.31
1743191070.184,19.9044,6226,73.31
1743191070.306,19.9007,6226,71.36
1743191070.440,19.9045,6226,96.77
1743191070.567,19.9045,6226,85.04
1743191070.696,19.9005,6226,77.22
1743191070.824,19.8999,6226,81.13
1743191070.968,19.8986,6226,96.77
1743191071.095,19.9043,6226,75.27
1743191071.224,19.9007,6226,83.09
1743191071.351,19.8999,6226,94.82
1743191071.474,19.9019,6226,90.91
1743191071.607,19.8937,6226,79.18
1743191071.736,19.8929,6226,94.82
1743191071.863,19.8923,6226,77.22
1743191071.992,19.9040,6226,94.82
1743191072.135,19.8968,6226,94.82
1743191072.263,19.8887,6226,77.22
1743191072.391,19.9066,6226,79.18
1743191072.519,19.9096,6226,87.00
1743191072.647,19.8988,6226,94.82
1743191072.774,19.9046,6226,87.00
1743191072.903,19.8976,6226,94.82
1743191073.031,19.9026,6226,90.91
1743191073.160,19.9025,6226,79.18
1743191073.287,19.8933,6226,83.09
1743191073.430,19.8994,6226,94.82
1743191073.559,19.9068,6226,98.73
1743191073.687,19.8928,6226,85.04
1743191073.812,19.8961,6226,73.31
1743191073.940,19.8994,6226,92.86
1743191074.070,19.8935,6226,81.13
1743191074.199,19.9021,6226,75.27
1743191074.326,19.8992,6226,73.31
1743191074.455,19.8980,6226,73.31
1743191074.599,19.8976,6226,94.82
1743191074.726,19.9036,6226,83.09
1743191074.855,19.8975,6226,83.09
1743191074.982,19.8954,6226,83.09
